,gameIds,timeStamps,queues,seasons
33428,2675973810,1513833787576,1010,9
33429,2675953980,1513831977057,1010,9
33430,2675909641,1513830827769,1010,9
33431,2675911543,1513829237701,1010,9
33432,2675872710,1513827540449,1010,9
33433,2675792586,1513821675664,430,9
33434,2675738371,1513818738655,430,9
33435,2675307914,1513756385636,420,9
33436,2675278184,1513753441702,420,9
33437,2679805381,1514273629562,400,9
33438,2679768152,1514270518312,400,9
33439,2679235252,1514191782581,400,9
33440,2679221720,1514189250087,400,9
33441,2679194224,1514186249999,400,9
33442,2679165659,1514183348587,400,9
33443,2677388713,1513993250692,400,9
33444,2677375691,1513990377161,400,9
33445,2677329077,1513987944658,400,9
33446,2677255561,1513980994868,420,9
33447,2677216673,1513975814718,420,9
33448,2677181938,1513973559065,420,9
33449,2676853799,1513939121536,420,9
33450,2676841690,1513936372401,420,9
33451,2676801533,1513931215590,420,9
33452,2676768150,1513929210578,420,9
33453,2676761703,1513926875552,420,9
33454,2676714205,1513924594167,420,9
33455,2676642255,1513919429500,420,9
33456,2676078334,1513844524595,400,9
33457,2668505651,1513049006000,420,9
33458,2668476747,1513046831385,420,9
33459,2668469904,1513045204845,420,9
33460,2668373800,1513035564215,420,9
33461,2668317371,1513029458726,420,9
33462,2668304816,1513027982476,420,9
33463,2668280578,1513021415082,420,9
33464,2667924809,1512956317070,420,9
33465,2667871033,1512952492978,420,9
33466,2667863276,1512950633048,420,9
33467,2667772947,1512941928708,420,9
33468,2667732211,1512938582523,420,9
33469,2667645632,1512929418689,420,9
33470,2667627658,1512925885919,420,9
33471,2667614791,1512924052865,420,9
33472,2667109026,1512881808197,420,9
33473,2667101792,1512880138134,420,9
33474,2667061613,1512877823422,420,9
33475,2666821121,1512856349348,420,9
33476,2666790866,1512853323576,420,9
33477,2648915186,1511060264239,430,9
33478,2637742007,1509959716489,420,9
33479,2637718591,1509956891294,420,9
33480,2637724766,1509955052794,420,9
33481,2637720091,1509952583492,420,9
33482,2637685545,1509950295334,420,9
33483,2637674915,1509947242375,420,9
33484,2637645931,1509944755157,420,9
33485,2637597605,1509942188882,420,9
33486,2637058110,1509890756871,420,9
33487,2637055916,1509888527295,420,9
33488,2637044976,1509886182022,420,9
33489,2637061247,1509883575681,420,9
33490,2637050831,1509881557736,420,9
33491,2637019235,1509879439855,420,9
33492,2637016910,1509876928203,420,9
33493,2637004260,1509873960879,420,9
33494,2636987432,1509870791799,420,9
33495,2636965711,1509869048031,420,9
33496,2636970563,1509867209351,420,9
33497,2679500650,1514243842396,1010,9
33498,2679029415,1514170635326,430,9
33499,2678158827,1514086904110,1010,9
33500,2678129755,1514084372401,430,9
33501,2677780584,1514044230782,1010,9
33502,2677758047,1514042269263,1010,9
33503,2677755881,1514040333572,430,9
33504,2677751187,1514034321463,430,9
33505,2677741022,1514032496093,1010,9
33506,2676964160,1513954723083,1010,9
33507,2676272604,1513889665419,1010,9
33508,2676257230,1513888196687,1010,9
33509,2676234563,1513886610576,1010,9
33510,2676218819,1513884532718,430,9
33511,2676204057,1513882266914,430,9
33512,2675877921,1513828546558,430,9
33513,2675879764,1513826972794,1010,9
33514,2675837854,1513824928487,1010,9
33515,2675788224,1513822757357,1010,9
33516,2673946881,1513639100068,920,9
33517,2639120883,1510121783440,420,9
33518,2634354541,1509592103170,420,9
33519,2634324497,1509589781868,420,9
33520,2634295521,1509587705176,420,9
33521,2634267323,1509585769491,420,9
33522,2634237950,1509583528055,420,9
33523,2632744877,1509397436194,420,9
