,Champ1,Champ1Points,Champ2,Champ2Points,Champ3,Champ3Points,accountIds,summonerIds,totalChampScores,name,rank
78,21,19545,267,9967,16,6400,34639835,21327980,21,Zambooki,SILVER
79,222,274947,37,38544,40,27564,237705169,84991194,55,Míley Cyrus,SILVER
80,64,127827,154,99949,92,76008,45365807,30908793,306,CosmicTheory,DIAMOND
81,103,289123,245,184292,222,178042,213588201,50821675,345,The UN,PLATINUM
82,92,158947,238,134369,121,132050,212031366,49348187,524,GP Takes  TP,DIAMOND
83,157,454132,4,178790,222,132641,217481888,55424995,407,sup dogg,PLATINUM
84,412,148515,25,72446,236,65170,41601635,27766981,337,Kitcat,DIAMOND
85,13,206876,63,118551,104,102227,46405266,31712918,251,Blueie,PLATINUM
86,89,231895,236,221478,412,130417,35018398,21575536,298,Shnauz,DIAMOND
87,92,487951,157,183071,105,123941,210270881,47598672,297,Gaì,DIAMOND
88,64,296464,154,194281,107,138208,208040252,45107857,522,Hi im Stollie,DIAMOND
89,34,907698,54,105460,11,66729,233411461,76421043,166,Hargunator24,DIAMOND
90,64,84620,157,61421,268,55476,205946388,43403951,181,yoonation,GOLD
91,107,126732,119,90736,67,84226,47459631,32545448,318,Okaebi,GOLD
92,48,121550,72,65578,68,14314,216296927,53640102,58,TheeGoodDr,GOLD
93,201,720889,48,228222,26,210044,49170010,34793544,150,ALWAYSTRUSTBRAUM,PLATINUM
94,157,175923,35,104349,64,82643,208433121,45513905,362,ScarredForLyfe,PLATINUM
95,102,50321,51,38982,22,33925,201771003,38847588,138,Vyne,GOLD
96,51,202119,236,91328,1,86487,33123659,20239371,234,qu1cksh1t,GOLD
97,119,76042,157,75779,75,39610,39073843,24669301,177,WONDERM4N,PLATINUM
98,37,303206,21,258619,16,247143,216982745,54850976,290,    Dâm  SML    ,PLATINUM
99,75,242093,24,220652,51,104244,227462657,65440063,203,juhun1219,DIAMOND
100,112,111016,238,69952,67,57214,1318568,78499124,254,DILMA 13,SILVER
101,245,256154,5,20380,114,16897,233220058,76312158,284,Ackmarddak,GOLD
102,5,114398,11,44248,41,42493,224107768,61832795,238,Lãg,SILVER
103,63,483716,201,205594,25,95154,230348733,70332154,127,JustBeKilling,GOLD
104,103,79646,92,75341,429,67894,226507827,63458093,374,DarkMexicanRules,SILVER
105,5,22344,33,16385,57,10495,32343715,19649830,49,OrcaVal,SILVER
106,119,352065,92,98570,32,63545,201478626,38630996,280,Take My LP,SILVER
107,35,111695,64,89929,92,81637,233315696,80069632,350,TeitokuSama,NA
108,157,605203,114,149568,55,73772,228947816,67981332,227,hellobacon,GOLD
109,254,260888,76,165898,121,115781,200221521,37303323,304,Mr Coincidence,SILVER
110,122,235366,111,203753,429,93458,205165099,43019320,317,TR3SS,GOLD
111,18,183517,51,154310,40,43996,33652428,20624596,239,AYordleNamedLeo,GOLD
112,432,175878,103,123982,222,71972,46467366,31854473,426,Deathrelic,GOLD
113,150,105917,67,99686,2,63762,214031567,51057630,392,Carp Da Fish,GOLD
114,202,156557,78,145762,245,83851,210682065,47844908,511,Pílty,PLATINUM
115,40,128777,412,81751,201,54662,48561877,34270646,380,Light Ethos,GOLD
116,19,56311,79,45579,67,41747,41905006,27233456,236,OBG sheenteemo,GOLD
117,79,62519,64,61941,54,59318,200420216,37238761,448,Mixed Nuts,GOLD
118,59,27795,13,13862,31,8485,49016108,40941907,56,AnimaDyl,GOLD
119,429,146086,67,137665,222,117487,210645942,47813927,216,Avery246813579,GOLD
120,245,223730,24,135419,82,127675,49727886,39692111,284,Will Smiths Son,SILVER
121,53,251116,267,106957,25,99746,42656973,28383807,498,BuyUrOwnWards,BRONZE
122,51,118749,21,106986,53,80041,214219953,51400540,228,showdominance,SILVER
123,15,67146,102,58867,89,55719,37541950,23452928,277,cidikarus,SILVER
124,1,462056,16,403761,99,111860,219599458,58454070,197,Xenovia1,SILVER
125,222,417631,157,346477,21,262484,216978153,54870857,123,ShintaBattousai,SILVER
126,5,519173,19,161820,90,96020,33409511,20459661,330,Noveaux,SILVER
127,86,201296,90,138890,80,87564,33769546,20691721,128,Ambrosius88,BRONZE
128,84,96251,55,75488,157,63505,50998020,36650555,356,Hopsiinn,SILVER
129,53,510642,99,146580,25,82641,231625882,72890081,148,MFryett,SILVER
130,420,139683,2,113566,104,103124,35365557,21824933,259,fLeefools,GOLD
131,32,154470,131,116931,203,93862,227859211,66290726,251,43SD43,GOLD
132,107,82579,41,78474,61,73144,216918460,54999381,387,POPO1094,GOLD
133,412,212489,236,115179,51,113201,32495220,19777808,251,Mikeyyo,GOLD
134,62,202310,154,202076,25,142674,34671373,21326221,292,ViperZ13,GOLD
135,498,43746,29,40574,119,38308,40524523,25945567,128,CLG WeeWee v2 ,PLATINUM
136,14,139241,122,78968,2,15330,234001103,77362425,100,DarrenBobb,GOLD
137,236,50875,76,47883,104,47115,209620110,46701899,139,getsTHEchesse,SILVER
138,7,307869,99,218514,103,135711,48901105,44015201,150,Vel0uria,SILVER
139,17,322883,86,116042,11,88884,219712739,58739540,117,Boom Go Shroom,GOLD
140,236,130852,412,111993,18,77404,218021543,56008314,345,dalong123,DIAMOND
141,53,128098,412,94349,117,41467,47220847,32413721,302,AFRlCAN,DIAMOND
142,421,418660,121,271413,104,239315,232794121,75179852,341,SKT Trash,DIAMOND
143,41,467855,11,225932,81,79368,44572547,30349949,436,Gangplank Main,DIAMOND
